Case ID,Breed,Age,Weight,Medical History,Genetic Predispositions,Current Medications,Diet,Lifestyle,Environment,Vaccination Status,Neutering Status,Living Conditions,Disease,Stage,Severity Score,Symptom Count,Previous Treatment,Previous Treatment Response,Treatments Tried Count,Drug Allergies,Drug Interaction Risk,Cost Category,Availability Status,Conventional Treatment,Natural Remedies,Outcome
1,Rottweiler,5.9,47.6,,,Beta-blockers,Grain-free,Indoor,Tropical,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,21,4,Ketoconazole,Partial,1,"Penicillin, Ketoconazole",High,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
2,Siberian Husky,11.1,30.7,Allergy to Penicillin,Dermatitis,Beta-blockers,Grain-free,Indoor,Cold,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Moderate,54,10,,,0,Penicillin,High,Affordable,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
3,Cocker Spaniel,2.8,9.5,Skin allergies,Fungal susceptibility,Antihistamines,Hypoallergenic,Active,Tropical,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,39,2,Cephalexin,Failure,2,,High,Moderate,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
4,Rottweiler,1.3,43.6,Eye infections,Fungal susceptibility,Heartworm Preventative,Grain-free,Outdoor,Humid,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Mild,14,6,Fluconazole,Adverse Reaction,3,,Medium,Expensive,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
5,Poodle,9.2,36.0,Skin allergies,Fungal susceptibility,Antihistamines,High-protein,Active,Humid,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,16,2,,,0,Cephalexin,Medium,Expensive,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
6,Bulldog,0.8,48.6,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Low-sodium,Indoor,Dry,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Moderate,65,3,,,0,,High,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
7,Border Collie,12.6,12.2,,Fungal susceptibility,Beta-blockers,Low-sodium,Active,Tropical,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Moderate,72,1,,,0,"Penicillin, Cephalexin",Medium,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
8,Border Collie,3.1,10.8,,,Insulin,Balanced,Active,Tropical,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,37,9,,,0,,High,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
9,Border Collie,4.9,27.2,Allergy to Penicillin,,Heartworm Preventative,Grain-free,Indoor,Cold,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,100,1,,,0,Penicillin,Low,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
10,Rottweiler,6.8,16.0,Allergy to Penicillin,,Antihistamines,Grain-free,Active,Wet,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Mild,22,2,Itraconazole,Success,2,,High,Expensive,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
11,Beagle,9.4,8.7,,,Heartworm Preventative,Grain-free,Active,Humid,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,41,2,,,0,,High,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
12,Yorkshire Terrier,4.7,19.6,,,Heartworm Preventative,Grain-free,Outdoor,Humid,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Mild,58,1,Fluconazole,Partial,2,,Low,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
13,Boxer,7.1,39.7,,Fungal susceptibility,Beta-blockers,Balanced,Indoor,Wet,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Mild,18,10,Cephalexin,Success,3,Cephalexin,High,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
14,Boxer,3.4,26.7,Skin allergies,Dermatitis,Heartworm Preventative,Hypoallergenic,Indoor,Cold,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Moderate,19,1,,,0,,Low,Affordable,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
15,Golden Retriever,9.1,4.2,Eye infections,Dermatitis,,Grain-free,Outdoor,Cold,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Moderate,94,2,Amoxicillin,Success,1,,Medium,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
16,Beagle,9.3,10.2,Eye infections,Fungal susceptibility,Beta-blockers,Low-sodium,Outdoor,Cold,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,10,6,,,0,,Medium,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
17,Cocker Spaniel,1.4,47.5,,,,Grain-free,Active,Temperate,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,49,6,,,0,,Low,Moderate,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Stable
18,Labrador,14.5,40.8,Skin allergies,Fungal susceptibility,Insulin,Low-sodium,Active,Tropical,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,32,6,Cephalexin,Failure,3,,Medium,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
19,Poodle,4.9,6.7,Allergy to Penicillin,Dermatitis,Beta-blockers,Grain-free,Indoor,Temperate,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,45,6,Fluconazole,Success,3,,Medium,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
20,Bulldog,10.4,23.1,Skin allergies,Fungal susceptibility,Beta-blockers,High-protein,Active,Wet,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,100,7,,,0,"Penicillin, Ketoconazole",High,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
21,Bulldog,2.3,25.8,,Fungal susceptibility,Beta-blockers,Low-sodium,Outdoor,Dry,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Moderate,61,5,Itraconazole,Success,3,,High,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
22,Golden Retriever,1.0,45.6,Skin allergies,,Insulin,Low-sodium,Active,Dry,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Mild,75,8,,,0,,High,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
23,Rottweiler,4.3,33.8,Skin allergies,,Heartworm Preventative,Hypoallergenic,Indoor,Tropical,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,88,2,,,0,,High,Affordable,Limited,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Stable
24,Siberian Husky,5.0,27.0,,,Insulin,Grain-free,Indoor,Dry,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,27,8,,,0,,High,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
25,Dachshund,8.4,10.9,Eye infections,Fungal susceptibility,Insulin,High-protein,Outdoor,Tropical,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,19,5,Amoxicillin,Failure,3,"Penicillin, Cephalexin",Medium,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
26,Poodle,14.6,39.2,,Dermatitis,Insulin,Hypoallergenic,Active,Humid,Not Up-to-date,Neutered,Single-pet,Staph Infection,Severe,84,1,,,0,,Medium,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
27,Yorkshire Terrier,14.1,45.0,Allergy to Penicillin,Fungal susceptibility,Antihistamines,Low-sodium,Indoor,Humid,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,59,6,,,0,,High,Affordable,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
28,Cocker Spaniel,9.2,46.2,,Dermatitis,Antihistamines,Low-sodium,Active,Temperate,Up-to-date,Not Neutered,Single-pet,Staph Infection,Mild,16,5,Fluconazole,Partial,2,,Medium,Moderate,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
29,Chihuahua,1.8,11.4,,Dermatitis,Heartworm Preventative,Balanced,Active,Temperate,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Mild,40,3,Itraconazole,Partial,1,,Low,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
30,Golden Retriever,1.2,17.6,,Fungal susceptibility,,Hypoallergenic,Active,Dry,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Mild,23,5,,,0,,Low,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
31,Rottweiler,6.1,15.0,Skin allergies,,Antihistamines,Hypoallergenic,Indoor,Humid,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,100,3,,,0,,High,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
32,Yorkshire Terrier,12.5,19.1,Skin allergies,Dermatitis,Heartworm Preventative,Balanced,Outdoor,Humid,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,73,6,Fluconazole,Adverse Reaction,2,Cephalexin,High,Affordable,Out of Stock,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
33,Poodle,4.6,28.0,Allergy to Penicillin,Dermatitis,Antihistamines,Grain-free,Active,Humid,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Moderate,38,7,Fluconazole,Partial,3,,Medium,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
34,Golden Retriever,2.5,40.5,Skin allergies,Dermatitis,Heartworm Preventative,Balanced,Active,Tropical,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Mild,71,5,,,0,,High,Expensive,Backorder,Ketoconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Recovered
35,Golden Retriever,1.6,49.4,Eye infections,Dermatitis,Heartworm Preventative,Hypoallergenic,Indoor,Dry,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Moderate,99,3,,,0,,Low,Affordable,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
36,Chihuahua,11.7,11.5,Skin allergies,Dermatitis,,Balanced,Outdoor,Humid,Up-to-date,Neutered,Single-pet,Fungal Infections,Moderate,20,4,,,0,Ketoconazole,High,Affordable,Limited,Fluconazole,"Coconut oil, Tea tree oil, Calendula",Improved
37,Golden Retriever,0.6,41.1,Allergy to Penicillin,Dermatitis,Antihistamines,Low-sodium,Indoor,Wet,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,30,4,Itraconazole,Partial,2,Penicillin,Medium,Affordable,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
