Case ID,Age,Breed,Weight,Medical History,Genetic Predispositions,Current Medications,Diet,Lifestyle,Environment,Vaccination Status,Neutering Status,Living Conditions,Disease,Stage,Conventional Treatment,Natural Remedies,Outcome
1,11,Labrador,26,Eye infections,Dermatitis,None,Grain-free,Indoor,Humid,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Ketoconazole,"Probiotics, Coconut oil, Tea tree oil, Calendula",Recovered
2,6,Poodle,20,Allergy to Penicillin,Dermatitis,Heartworm Preventative,Hypoallergenic,Indoor,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Calendula, Aloe vera gel, Probiotics",Recovered
3,3,Chihuahua,19,None,None,Antihistamines,Grain-free,Active,Dry,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Tea tree oil, Probiotics, Coconut oil, Turmeric",Recovered
4,5,Dachshund,33,Skin allergies,Fungal susceptibility,Beta-blockers,Grain-free,Indoor,Temperate,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Probiotics, Lavender oil, Chamomile, Omega-3",Stable
5,11,Poodle,12,Skin allergies,Fungal susceptibility,Heartworm Preventative,Grain-free,Active,Wet,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Fluconazole,"Calendula, Turmeric, Probiotics, Coconut oil",Stable
6,5,Poodle,27,Skin allergies,Fungal susceptibility,Beta-blockers,Grain-free,Active,Dry,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Sulphur, Coconut oil, Probiotics, Calendula",Stable
7,15,Cocker Spaniel,7,Skin allergies,Dermatitis,Heartworm Preventative,High-protein,Outdoor,Wet,Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Fluconazole,"Tea tree oil, Coconut oil, Calendula",Improved
8,7,Labrador,24,Skin allergies,Dermatitis,None,High-protein,Outdoor,Temperate,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Chamomile, Aloe vera gel, Omega-3",Stable
9,10,Dachshund,38,Eye infections,Fungal susceptibility,Insulin,Grain-free,Active,Wet,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Coconut oil, Aloe vera gel, Turmeric",Improved
10,6,Cocker Spaniel,22,Eye infections,Fungal susceptibility,Beta-blockers,Grain-free,Outdoor,Dry,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Amoxicillin,"Probiotics, Aloe vera gel, Calendula, Coconut oil",Recovered
11,1,Dachshund,19,None,Dermatitis,Antihistamines,High-protein,Outdoor,Dry,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Calendula, Aloe vera gel, Coconut oil",Stable
12,13,Golden Retriever,35,Skin allergies,None,Heartworm Preventative,Grain-free,Active,Humid,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Aloe vera gel, Chamomile, Omega-3",Stable
13,14,Dachshund,36,Eye infections,Fungal susceptibility,Beta-blockers,Grain-free,Outdoor,Cold,Up-to-date,Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Probiotics, Calendula, Aloe vera gel",Stable
14,3,Golden Retriever,24,Allergy to Penicillin,Dermatitis,Heartworm Preventative,Grain-free,Outdoor,Cold,Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Ketoconazole,"Probiotics, Coconut oil, Tea tree oil",Improved
